prdtypecode,text,clean_text,codes
1560,"eames,inspired,sxw,chair,pink,black,timeless,dsw,seat,paired,types,legs,wood,legs,look,like,natural,fit,seat,make,safe,choice,interior,chair,perfect,offices,kitchens,dining,rooms,ideal,kitchen,living,room,office,waiting,room,reception,available,colours,white,red,blue,baby,blue,black,yellow,orange,olive,dark,orange,chocolate,light,green,warm,grey,beige,light,grey,blue,ocean,pink,fushia,green,tree,graphite,tarmac,royal,blue,features,avalaible,without,amrests","['eames', 'inspired', 'sxw', 'chair', 'pink', 'black', 'timeless', 'dsw', 'seat', 'paired', 'types', 'legs', 'wood', 'legs', 'look', 'like', 'natural', 'fit', 'seat', 'make', 'safe', 'choice', 'interior', 'chair', 'perfect', 'offices', 'kitchens', 'dining', 'rooms', 'ideal', 'kitchen', 'living', 'room', 'office', 'waiting', 'room', 'reception', 'available', 'colours', 'white', 'red', 'blue', 'baby', 'blue', 'black', 'yellow', 'orange', 'olive', 'dark', 'orange', 'chocolate', 'light', 'green', 'warm', 'grey', 'beige', 'light', 'grey', 'blue', 'ocean', 'pink', 'fushia', 'green', 'tree', 'graphite', 'tarmac', 'royal', 'blue', 'features', 'avalaible', 'without', 'amrests']",13
1560,"fauteuil,chesterfield,brenton,cuir,buffle,vert,empire,canapé,fauteuil,chesterfield,cuir,antique,enton,coloris,chocolat,vert,empire,rouge,cherry,disponible,canapé,places,places,places,fauteuil,design,mythique,succombez,design,mythique,style,chesterfield,capitonnage,marqué,dossier,font,salon,brenton,mod,tendance,intemporel,optez,couleur,chocolat,reflets,tain,sortez,commun,rouge,cherry,apprécierez,lattention,portée,détails,tels,capitonnage,structure,lassise,coutures,daccoudoirs,cloutées,matériaux,premium,séduits,cuir,antique,patiné,main,apporte,salon,brenton,aspect,vieilli,tendance,fois,esthétique,agréable,toucher,succombez,cuir,buffle,pleine,fleur,conf,canapé,toute,élégance,cuir,pleine,fleur,premi,couche,peau,animal,non,corrigé,conservé,surface,origine,appelée,fleur,laissant,apercevoir,grain,naturel,peau,mati,noble,luxueuse,cuir,pleine,fleur,particuli,rement,doux,agréable,toucher,confort,optimal,douceur,cuir,plein,fleur,ajoute,confort,garnissage,mousse,haute,résilience,garantit,confort,absolu,durable,choisir,brenton,opter,canapé,haut,gamme,apportera,satisfaction,totale,durable,caractéristiques,techniques,linea,sofa,collection,salons,linea,sofa,répond,désirs,confort,ésthétisme,ceux,recherchent,produits,exception,spécialisée,salons,designers,haut,gamme,marque,linea,sofa,donne,personnalité,intérieur,soin,extr,apporté,fabrication,produits,luxe,finitions,irréprochables,con,matériaux,nobles,exclusivement,toujours,pointe,tendances,linea,sofa,tient,proposer,sans,cesse,collections,fois,fonctionnelles,uniques,nuancier,couleurs,innovantes,cuir,buffle,pleine,fleur,mati,noble,luxueuse,cuir,pleine,fleur,particuli,rement,doux,agréable,toucher,fleur,corrigée,pigmentée,épaisseur,cuir,antique,cuir,pleine,fleur,patiné,main,aspect,vieilli,brillant,durable,salon,recouvert,exclusivement,cuir,buffle,pleine,fleur,garantissant,ainsi,qualité,confort,longévité,assise,dossier,garnis,mousse,polyuréthane,haute,résilience,utilisée,literie,mousse,haute,résilience,plus,confortable,plus,robuste,mousses,classiques,assure,donc,plus,grand,confort,meilleure,résistance,cours,temps,densité,assise,premi,couche,deuxi,couche,troisi,couche,densité,dossier,accoudoirs,premi,couche,seconde,couche,suspension,dossier,sangles,élastiques,ressorts,suspension,assise,ressorts,hélico,daux,structure,pieds,bois,bon,savoir,cuir,buffle,cuir,dont,relief,plus,important,grain,fois,naturel,irrégulier,caractéristiques,font,matériau,particuli,rement,résistant,qualitatif,vaut,surnom,diamant,cuir,dimensions,canapé,places,canapé,places,canapé,places,fauteuil,hauteur,assise,profondeur,assise,veillez,bien,vérifier,dimensions,porte,escalier,livraison,délai,livraison,produit,confirmé,panier,dimensions,colis,fauteuil,brenton,produit,longueur,largeur,hauteur,poids,colis,longueur,largeur,hauteur,poids","['fauteuil', 'chesterfield', 'brenton', 'cuir', 'buffle', 'vert', 'empire', 'canapé', 'fauteuil', 'chesterfield', 'cuir', 'antique', 'enton', 'coloris', 'chocolat', 'vert', 'empire', 'rouge', 'cherry', 'disponible', 'canapé', 'places', 'places', 'places', 'fauteuil', 'design', 'mythique', 'succombez', 'design', 'mythique', 'style', 'chesterfield', 'capitonnage', 'marqué', 'dossier', 'font', 'salon', 'brenton', 'mod', 'tendance', 'intemporel', 'optez', 'couleur', 'chocolat', 'reflets', 'tain', 'sortez', 'commun', 'rouge', 'cherry', 'apprécierez', 'lattention', 'portée', 'détails', 'tels', 'capitonnage', 'structure', 'lassise', 'coutures', 'daccoudoirs', 'cloutées', 'matériaux', 'premium', 'séduits', 'cuir', 'antique', 'patiné', 'main', 'apporte', 'salon', 'brenton', 'aspect', 'vieilli', 'tendance', 'fois', 'esthétique', 'agréable', 'toucher', 'succombez', 'cuir', 'buffle', 'pleine', 'fleur', 'conf', 'canapé', 'toute', 'élégance', 'cuir', 'pleine', 'fleur', 'premi', 'couche', 'peau', 'animal', 'non', 'corrigé', 'conservé', 'surface', 'origine', 'appelée', 'fleur', 'laissant', 'apercevoir', 'grain', 'naturel', 'peau', 'mati', 'noble', 'luxueuse', 'cuir', 'pleine', 'fleur', 'particuli', 'rement', 'doux', 'agréable', 'toucher', 'confort', 'optimal', 'douceur', 'cuir', 'plein', 'fleur', 'ajoute', 'confort', 'garnissage', 'mousse', 'haute', 'résilience', 'garantit', 'confort', 'absolu', 'durable', 'choisir', 'brenton', 'opter', 'canapé', 'haut', 'gamme', 'apportera', 'satisfaction', 'totale', 'durable', 'caractéristiques', 'techniques', 'linea', 'sofa', 'collection', 'salons', 'linea', 'sofa', 'répond', 'désirs', 'confort', 'ésthétisme', 'ceux', 'recherchent', 'produits', 'exception', 'spécialisée', 'salons', 'designers', 'haut', 'gamme', 'marque', 'linea', 'sofa', 'donne', 'personnalité', 'intérieur', 'soin', 'extr', 'apporté', 'fabrication', 'produits', 'luxe', 'finitions', 'irréprochables', 'con', 'matériaux', 'nobles', 'exclusivement', 'toujours', 'pointe', 'tendances', 'linea', 'sofa', 'tient', 'proposer', 'sans', 'cesse', 'collections', 'fois', 'fonctionnelles', 'uniques', 'nuancier', 'couleurs', 'innovantes', 'cuir', 'buffle', 'pleine', 'fleur', 'mati', 'noble', 'luxueuse', 'cuir', 'pleine', 'fleur', 'particuli', 'rement', 'doux', 'agréable', 'toucher', 'fleur', 'corrigée', 'pigmentée', 'épaisseur', 'cuir', 'antique', 'cuir', 'pleine', 'fleur', 'patiné', 'main', 'aspect', 'vieilli', 'brillant', 'durable', 'salon', 'recouvert', 'exclusivement', 'cuir', 'buffle', 'pleine', 'fleur', 'garantissant', 'ainsi', 'qualité', 'confort', 'longévité', 'assise', 'dossier', 'garnis', 'mousse', 'polyuréthane', 'haute', 'résilience', 'utilisée', 'literie', 'mousse', 'haute', 'résilience', 'plus', 'confortable', 'plus', 'robuste', 'mousses', 'classiques', 'assure', 'donc', 'plus', 'grand', 'confort', 'meilleure', 'résistance', 'cours', 'temps', 'densité', 'assise', 'premi', 'couche', 'deuxi', 'couche', 'troisi', 'couche', 'densité', 'dossier', 'accoudoirs', 'premi', 'couche', 'seconde', 'couche', 'suspension', 'dossier', 'sangles', 'élastiques', 'ressorts', 'suspension', 'assise', 'ressorts', 'hélico', 'daux', 'structure', 'pieds', 'bois', 'bon', 'savoir', 'cuir', 'buffle', 'cuir', 'dont', 'relief', 'plus', 'important', 'grain', 'fois', 'naturel', 'irrégulier', 'caractéristiques', 'font', 'matériau', 'particuli', 'rement', 'résistant', 'qualitatif', 'vaut', 'surnom', 'diamant', 'cuir', 'dimensions', 'canapé', 'places', 'canapé', 'places', 'canapé', 'places', 'fauteuil', 'hauteur', 'assise', 'profondeur', 'assise', 'veillez', 'bien', 'vérifier', 'dimensions', 'porte', 'escalier', 'livraison', 'délai', 'livraison', 'produit', 'confirmé', 'panier', 'dimensions', 'colis', 'fauteuil', 'brenton', 'produit', 'longueur', 'largeur', 'hauteur', 'poids', 'colis', 'longueur', 'largeur', 'hauteur', 'poids']",13
1281,"peaceable,kingdom,wheres,bear,hide,find,stacking,block,game,year,olds,pcan,year,old,play,game,yes,game,year,old,collection,designed,child,experience,like,take,turns,play,within,rules,even,loosely,possibly,learn,new,skill,like,rolling,die,unlike,games,older,children,however,dont,win,lose,game,play,explore,play,learn,play,connect,quality,time,little,one,since,play,heart,soul,peaceable,kingdom,silly,play,special,play,wholehearted,play,create,experiences,help,kids,play,well,together,play,well,world,games,gifts,connect,kids,families,encourage,learning,self,expression,let,imaginations,soar,piece,peaceable,kingdom,game,gift,gets,lost,fun,gladly,send,replacement,piece,contact,directly,need,play,comes,heart,feeds,soul,thats,peaceable,kingdom","['peaceable', 'kingdom', 'wheres', 'bear', 'hide', 'find', 'stacking', 'block', 'game', 'year', 'olds', 'pcan', 'year', 'old', 'play', 'game', 'yes', 'game', 'year', 'old', 'collection', 'designed', 'child', 'experience', 'like', 'take', 'turns', 'play', 'within', 'rules', 'even', 'loosely', 'possibly', 'learn', 'new', 'skill', 'like', 'rolling', 'die', 'unlike', 'games', 'older', 'children', 'however', 'dont', 'win', 'lose', 'game', 'play', 'explore', 'play', 'learn', 'play', 'connect', 'quality', 'time', 'little', 'one', 'since', 'play', 'heart', 'soul', 'peaceable', 'kingdom', 'silly', 'play', 'special', 'play', 'wholehearted', 'play', 'create', 'experiences', 'help', 'kids', 'play', 'well', 'together', 'play', 'well', 'world', 'games', 'gifts', 'connect', 'kids', 'families', 'encourage', 'learning', 'self', 'expression', 'let', 'imaginations', 'soar', 'piece', 'peaceable', 'kingdom', 'game', 'gift', 'gets', 'lost', 'fun', 'gladly', 'send', 'replacement', 'piece', 'contact', 'directly', 'need', 'play', 'comes', 'heart', 'feeds', 'soul', 'thats', 'peaceable', 'kingdom']",8
1920,"paire,voilages,imprimés,fantaisie,paire,voilages,droits,fantaisie,mettra,intérieur,valeurun,parement,uni,petits,coeurs,suivi,petit,galon,coloré,forme,également,coeur,viendra,faire,jonction,partie,inférieure,rayée,coloris,écru,coloris,gris,rouge,dimensions,cmfinition,ourlet,passe,tringlepr,poserla,base,tés,ourlés,caractéristiques,coloris,gris,rougefinition,ourlet,passe,tringlecomposition,polyester,cotondimensions,vendu,pairepr,poser","['paire', 'voilages', 'imprimés', 'fantaisie', 'paire', 'voilages', 'droits', 'fantaisie', 'mettra', 'intérieur', 'valeurun', 'parement', 'uni', 'petits', 'coeurs', 'suivi', 'petit', 'galon', 'coloré', 'forme', 'également', 'coeur', 'viendra', 'faire', 'jonction', 'partie', 'inférieure', 'rayée', 'coloris', 'écru', 'coloris', 'gris', 'rouge', 'dimensions', 'cmfinition', 'ourlet', 'passe', 'tringlepr', 'poserla', 'base', 'tés', 'ourlés', 'caractéristiques', 'coloris', 'gris', 'rougefinition', 'ourlet', 'passe', 'tringlecomposition', 'polyester', 'cotondimensions', 'vendu', 'pairepr', 'poser']",14
1560,"matelas,mémoire,forme,ferme,déhoussable,housse,lavable,zones,confort,noyau,poli,lattex,derni,génération,respirant,matelas,accueil,ferme,soutien,ferme,technologie,matelas,face,mousse,poli,lattex,derni,génération,indéformable,haute,résilience,face,hiver,mousse,mémoire,forme,haute,densité,massante,épaisseur,matelas,repos,plus,sain,traitement,anti,acariens,anti,bactérien,anti,moisissures,bonne,indépendance,couchage,dormez,tranquille,garantie,ans,compatible,sommiers,mécaniques,électriques,coutil,coutil,stretch,matelassé,polyester,traitement,sanitized,faces,couchage,réversibles,déhoussable,tés,housse,lavable,position,lavage,main,délicat,sanitized,traitement,antibactérien,anti,moisissures,diminuant,également,développement,odeurs,structure,garnissage,matelas,faces,dormeur,mousse,profilée,haute,ventilation,maximiser,confort,coutil,tissu,bonne,respiration,noyau,matelassé,air,system,tissu,hyper,respirant,réalisé,dimensions,permet,circulation,libre,air,offrant,ainsi,plus,grande,ventilation,hygi,plate,bande,tissu,hyper,respirant,matelassé,ouate,polyester,noyau,bloc,mousse,haute,resilience,poli,lattex,derni,génération,indéformable,structure,matelas,divisée,incroyables,zones,confort,adaptent,tous,types,morphologies,aident,libérer,tensions,musculaires,soulager,maux,dos,provoqués,mauvaises,postures,cours,journée,tissus,certifies,syst,qualité,certifié,oeko,tex,certipur,testé,contre,substances,nocives,certification,iso","['matelas', 'mémoire', 'forme', 'ferme', 'déhoussable', 'housse', 'lavable', 'zones', 'confort', 'noyau', 'poli', 'lattex', 'derni', 'génération', 'respirant', 'matelas', 'accueil', 'ferme', 'soutien', 'ferme', 'technologie', 'matelas', 'face', 'mousse', 'poli', 'lattex', 'derni', 'génération', 'indéformable', 'haute', 'résilience', 'face', 'hiver', 'mousse', 'mémoire', 'forme', 'haute', 'densité', 'massante', 'épaisseur', 'matelas', 'repos', 'plus', 'sain', 'traitement', 'anti', 'acariens', 'anti', 'bactérien', 'anti', 'moisissures', 'bonne', 'indépendance', 'couchage', 'dormez', 'tranquille', 'garantie', 'ans', 'compatible', 'sommiers', 'mécaniques', 'électriques', 'coutil', 'coutil', 'stretch', 'matelassé', 'polyester', 'traitement', 'sanitized', 'faces', 'couchage', 'réversibles', 'déhoussable', 'tés', 'housse', 'lavable', 'position', 'lavage', 'main', 'délicat', 'sanitized', 'traitement', 'antibactérien', 'anti', 'moisissures', 'diminuant', 'également', 'développement', 'odeurs', 'structure', 'garnissage', 'matelas', 'faces', 'dormeur', 'mousse', 'profilée', 'haute', 'ventilation', 'maximiser', 'confort', 'coutil', 'tissu', 'bonne', 'respiration', 'noyau', 'matelassé', 'air', 'system', 'tissu', 'hyper', 'respirant', 'réalisé', 'dimensions', 'permet', 'circulation', 'libre', 'air', 'offrant', 'ainsi', 'plus', 'grande', 'ventilation', 'hygi', 'plate', 'bande', 'tissu', 'hyper', 'respirant', 'matelassé', 'ouate', 'polyester', 'noyau', 'bloc', 'mousse', 'haute', 'resilience', 'poli', 'lattex', 'derni', 'génération', 'indéformable', 'structure', 'matelas', 'divisée', 'incroyables', 'zones', 'confort', 'adaptent', 'tous', 'types', 'morphologies', 'aident', 'libérer', 'tensions', 'musculaires', 'soulager', 'maux', 'dos', 'provoqués', 'mauvaises', 'postures', 'cours', 'journée', 'tissus', 'certifies', 'syst', 'qualité', 'certifié', 'oeko', 'tex', 'certipur', 'testé', 'contre', 'substances', 'nocives', 'certification', 'iso']",13
2522,"zenith,pince,agrafeuse,coloris,noir,pince,agrafeuse,capot,abs,dispositif,anti,blocage,mécanisme,corps,métal,agrafage,feuilles,capacité,agrafes,profondeur,gorge,livrée,agrafes,boite,individuelle","['zenith', 'pince', 'agrafeuse', 'coloris', 'noir', 'pince', 'agrafeuse', 'capot', 'abs', 'dispositif', 'anti', 'blocage', 'mécanisme', 'corps', 'métal', 'agrafage', 'feuilles', 'capacité', 'agrafes', 'profondeur', 'gorge', 'livrée', 'agrafes', 'boite', 'individuelle']",21
2403,"walter,scott,oeuvres,compl,tomes,","['walter', 'scott', 'oeuvres', 'compl', 'tomes']",19
2522,"mod,podge,dishwasher,safe,gloss,","['mod', 'podge', 'dishwasher', 'safe', 'gloss']",21
1140,"power,rangers,rouge,force,mystic,figurine,transformable,","['power', 'rangers', 'rouge', 'force', 'mystic', 'figurine', 'transformable']",4
2280,"monde,illustre,emprunt,victoire,angleterre,meeting,guildhall,lloyd,george,bonar,law,mac,kenna,conference,allies,briand,barrere,general,palitzine,","['monde', 'illustre', 'emprunt', 'victoire', 'angleterre', 'meeting', 'guildhall', 'lloyd', 'george', 'bonar', 'law', 'mac', 'kenna', 'conference', 'allies', 'briand', 'barrere', 'general', 'palitzine']",18
2583,"kit,désinfection,piscines,enfants,","['kit', 'désinfection', 'piscines', 'enfants']",23
1280,"glitter,beach,barbie,barbie,original,barbie,doll,contains,glitter,lotion","['glitter', 'beach', 'barbie', 'barbie', 'original', 'barbie', 'doll', 'contains', 'glitter', 'lotion']",7
1180,"seigneur,anneaux,figurine,plomb,peindre,socle,sam,","['seigneur', 'anneaux', 'figurine', 'plomb', 'peindre', 'socle', 'sam']",6
1140,"véhicule,star,wars,ast,véhicule,vintage,saga,star,wars,ast","['véhicule', 'star', 'wars', 'ast', 'véhicule', 'vintage', 'saga', 'star', 'wars', 'ast']",4
